Text,Category_Conclusion/Future Work,Category_Data/Dataset,Category_Discussion/Analysis,Category_Experiments/Experimentation,Category_Introduction/Background,Category_Methods/Methodology,Category_Results/Findings,Category_Tools/Technologies,Category_Uncategorized
"SPECIAL SECTION ON ADVANCES IN MACHINE LEARNING AND COGNITIVE COMPUTING
FOR INDUSTRY APPLICATIONS
Received April 28, 2020, accepted May 7, 2020, date of publication May 11, 2020, date of current version May 26, 2020.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Digital Object Identifier 10.1
109/ACCESS.2020.2993803
Facial Sentiment Analysis Using AI Techniques:
State-of-the-Art, Taxonomies, and Challenges
KEYUR PATEL
1, DEV MEHTA
1, CHINMAY MISTRY
1,
RAJESH GUPTA
1, (Student Member, IEEE), SUDEEP TANWAR
1, (Member, IEEE),
NEERAJ KUMAR
2,3,4, (Senior Member, IEEE), AND
MAMOUN ALAZAB5, (Senior Member, IEEE)
1Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad 382481, India
2Department of Computer Science Engineering, Thapar Institute of Engineering and Technology, Patiala 147004, India
3Department of Computer Science and Information Engineering, Asia University, Taichung 41354, Taiwan
4Department of Information Technology, King Abdul Aziz University, Jeddah 21589, Saudi Arabia
5College of Engineering, IT and Environment, Charles Darwin University, Casuarina, NT 0810, Australia
Corresponding authors: Neeraj Kumar (neeraj.kumar@thapar.edu) and Mamoun Alazab (mamoun.alazab@cdu.edu.au)
This work was supported by the Department of Corporate and Information Services, NTG of Australia.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"ABSTRACT With the advancements in machine and deep learning algorithms, the envision of various
critical real-life applications in computer vision becomes possible.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"One of the applications is facial sentiment
analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Deep learning has made facial expression recognition the most trending research ﬁelds in computer
vision area.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Recently, deep learning-based FER models have suffered from various technological issues like
under-ﬁtting or over-ﬁtting.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
It is due to either insufﬁcient training and expression data.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Motivated from
the above facts, this paper presents a systematic and comprehensive survey on current state-of-art Artiﬁcial
Intelligence techniques (datasets and algorithms) that provide a solution to the aforementioned issues.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It also
presents a taxonomy of existing facial sentiment analysis strategies in brief.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Then, this paper reviews the
existing novel machine and deep learning networks proposed by researchers that are speciﬁcally designed
for facial expression recognition based on static images and present their merits and demerits and summarized
their approach.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Finally, this paper also presents the open issues and research challenges for the design of a
robust facial expression recognition system.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"INDEX TERMS Facial sentiment analysis, machine learning, deep learning, convolutional neural network,
deep belief network, artiﬁcial intelligence.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"INTRODUCTION
Emotions are efﬁcacious and self-explanatory in normal
day-to-day human interactions.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"The most noticeable human
emotion is through their facial expressions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The Facial
Expression Recognition (FER) is quite complex and tedious
but helps in various applications areas such as healthcare
[1]–[3], emotionally driven robots, and human-computer
interaction.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Although the advancements in FER increases its
effectiveness, achieving a high accuracy is still a challenging
task [4].",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"The six most generic emotions of a human are anger,
happiness, sadness, disgust, fear, and surprise.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
